,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,is_house_ad,channel_code,day_served
19,a100000048,2018-01-02,House Ads,personalization,True,German,German,0-18 years,2018-01-02,2018-01-21,House Ads,False,True,1.0,1.0
20,a100000049,2018-01-02,House Ads,personalization,True,German,German,19-24 years,2018-01-02,,House Ads,True,True,1.0,1.0
21,a100000050,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,True,True,1.0,1.0
22,a100000050,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,True,True,1.0,0.0
23,a100000051,2018-01-02,House Ads,personalization,True,English,English,30-36 years,2018-01-02,,House Ads,True,True,1.0,1.0
24,a100000051,2018-01-01,Push,personalization,False,English,English,30-36 years,2018-01-02,,House Ads,True,False,5.0,0.0
25,a100000052,2018-01-02,House Ads,personalization,True,English,English,36-45 years,2018-01-02,,House Ads,True,True,1.0,1.0
26,a100000052,2018-01-01,House Ads,personalization,False,English,English,36-45 years,2018-01-02,,House Ads,True,True,1.0,0.0
27,a100000053,2018-01-02,House Ads,personalization,True,English,English,45-55 years,2018-01-02,,House Ads,True,True,1.0,1.0
28,a100000053,2018-01-01,House Ads,personalization,False,English,English,45-55 years,2018-01-02,,House Ads,True,True,1.0,0.0
29,a100000054,2018-01-02,House Ads,personalization,True,English,English,55+ years,2018-01-02,,House Ads,True,True,1.0,1.0
30,a100000054,2018-01-01,House Ads,personalization,False,English,English,55+ years,2018-01-02,,House Ads,True,True,1.0,0.0
31,a100000055,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,True,True,1.0,1.0
32,a100000055,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,True,False,5.0,0.0
33,a100000056,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,,House Ads,True,True,1.0,1.0
34,a100000056,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,,House Ads,True,False,3.0,0.0
35,a100000057,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,True,True,1.0,1.0
36,a100000057,2018-01-01,Instagram,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,True,False,2.0,0.0
37,a100000058,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,True,True,1.0,1.0
38,a100000058,2018-01-01,Instagram,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,True,False,2.0,0.0
39,a100000059,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False,True,1.0,1.0
40,a100000059,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,2018-02-19,House Ads,False,False,3.0,0.0
41,a100000060,2018-01-02,House Ads,personalization,True,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False,True,1.0,1.0
42,a100000060,2018-01-01,House Ads,personalization,False,German,German,24-30 years,2018-01-02,2018-03-08,House Ads,False,True,1.0,0.0
43,a100000061,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False,True,1.0,1.0
44,a100000061,2018-01-01,House Ads,personalization,False,English,English,0-18 years,2018-01-02,2018-02-05,House Ads,False,True,1.0,0.0
45,a100000062,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False,True,1.0,2.0
46,a100000062,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-01-11,House Ads,False,True,1.0,0.0
47,a100000063,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False,True,1.0,2.0
48,a100000063,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-01-06,House Ads,False,True,1.0,0.0
49,a100000064,2018-01-03,House Ads,personalization,True,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False,True,1.0,2.0
50,a100000064,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-03,2018-03-01,House Ads,False,False,5.0,0.0
51,a100000065,2018-01-03,House Ads,personalization,True,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False,True,1.0,2.0
52,a100000065,2018-01-01,House Ads,personalization,False,English,English,19-24 years,2018-01-03,2018-04-02,House Ads,False,True,1.0,0.0
53,a100000066,2018-01-03,House Ads,personalization,True,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False,True,1.0,2.0
54,a100000066,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-03,2018-03-02,House Ads,False,True,1.0,0.0
55,a100000067,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,2018-01-05,House Ads,False,True,1.0,2.0
56,a100000068,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,True,True,1.0,2.0
57,a100000069,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,True,True,1.0,2.0
58,a100000070,2018-01-03,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-03,,House Ads,True,True,1.0,2.0
59,a100000071,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,True,True,1.0,2.0
60,a100000072,2018-01-03,House Ads,control,True,German,German,45-55 years,2018-01-03,,House Ads,True,True,1.0,2.0
61,a100000073,2018-01-03,House Ads,control,True,English,English,55+ years,2018-01-03,,House Ads,True,True,1.0,2.0
62,a100000075,2018-01-03,House Ads,control,True,English,English,0-18 years,2018-01-03,,House Ads,True,True,1.0,2.0
63,a100000076,2018-01-03,House Ads,control,True,English,English,19-24 years,2018-01-03,,House Ads,True,True,1.0,2.0
64,a100000077,2018-01-03,House Ads,control,True,English,English,24-30 years,2018-01-03,,House Ads,True,True,1.0,2.0
65,a100000078,2018-01-03,House Ads,control,True,English,English,30-36 years,2018-01-03,,House Ads,True,True,1.0,2.0
66,a100000079,2018-01-03,House Ads,control,True,English,English,36-45 years,2018-01-03,,House Ads,True,True,1.0,2.0
67,a100000080,2018-01-04,House Ads,control,True,English,English,45-55 years,2018-01-04,,House Ads,True,True,1.0,3.0
68,a100000081,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,,House Ads,True,True,1.0,3.0
69,a100000082,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,,House Ads,True,True,1.0,3.0
70,a100000083,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,,House Ads,True,True,1.0,3.0
71,a100000085,2018-01-04,House Ads,control,True,Spanish,Spanish,24-30 years,2018-01-04,,House Ads,True,True,1.0,3.0
72,a100000086,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,,House Ads,True,True,1.0,3.0
73,a100000087,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,,House Ads,True,True,1.0,3.0
74,a100000088,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-11,House Ads,False,True,1.0,3.0
75,a100000089,2018-01-04,House Ads,control,True,English,English,55+ years,2018-01-04,2018-02-09,House Ads,False,True,1.0,3.0
76,a100000090,2018-01-04,House Ads,control,True,English,English,0-18 years,2018-01-04,2018-03-25,House Ads,False,True,1.0,3.0
77,a100000091,2018-01-04,House Ads,control,True,English,English,19-24 years,2018-01-04,2018-01-06,House Ads,False,True,1.0,3.0
78,a100000092,2018-01-04,House Ads,control,True,English,English,24-30 years,2018-01-04,2018-03-12,House Ads,False,True,1.0,3.0
79,a100000093,2018-01-04,House Ads,control,True,English,English,30-36 years,2018-01-04,2018-03-10,House Ads,False,True,1.0,3.0
80,a100000094,2018-01-04,House Ads,control,True,English,English,36-45 years,2018-01-04,2018-02-14,House Ads,False,True,1.0,3.0
81,a100000095,2018-01-04,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-04,2018-01-23,House Ads,False,True,1.0,3.0
82,a100000096,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,2018-02-11,House Ads,False,True,1.0,4.0
83,a100000097,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,,House Ads,True,True,1.0,4.0
84,a100000098,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,,House Ads,True,True,1.0,4.0
85,a100000099,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,,House Ads,True,True,1.0,4.0
86,a100000099,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,,House Ads,True,True,1.0,3.0
87,a100000100,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,,House Ads,True,True,1.0,4.0
88,a100000100,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,,House Ads,True,True,1.0,3.0
89,a100000101,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False,True,1.0,4.0
90,a100000101,2018-01-04,House Ads,control,False,English,English,36-45 years,2018-01-05,2018-04-13,House Ads,False,True,1.0,3.0
91,a100000102,2018-01-05,House Ads,control,True,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False,True,1.0,4.0
92,a100000102,2018-01-04,House Ads,control,False,English,English,45-55 years,2018-01-05,2018-04-12,House Ads,False,True,1.0,3.0
93,a100000103,2018-01-05,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False,True,1.0,4.0
94,a100000103,2018-01-04,House Ads,control,False,Spanish,Spanish,55+ years,2018-01-05,2018-04-03,House Ads,False,True,1.0,3.0
95,a100000104,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False,True,1.0,4.0
96,a100000104,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,2018-02-17,House Ads,False,True,1.0,3.0
97,a100000105,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False,True,1.0,4.0
98,a100000105,2018-01-04,House Ads,control,False,English,English,19-24 years,2018-01-05,2018-04-14,House Ads,False,True,1.0,3.0
99,a100000107,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False,True,1.0,4.0
100,a100000107,2018-01-04,House Ads,control,False,English,English,24-30 years,2018-01-05,2018-01-11,House Ads,False,True,1.0,3.0
101,a100000108,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False,True,1.0,4.0
102,a100000108,2018-01-04,House Ads,control,False,English,English,30-36 years,2018-01-05,2018-02-03,House Ads,False,True,1.0,3.0
103,a100000109,2018-01-05,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False,True,1.0,4.0
104,a100000109,2018-01-04,House Ads,control,False,Spanish,Spanish,36-45 years,2018-01-05,2018-01-08,House Ads,False,True,1.0,3.0
105,a100000110,2018-01-05,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False,True,1.0,4.0
106,a100000110,2018-01-04,House Ads,control,False,Spanish,Spanish,45-55 years,2018-01-05,2018-01-27,House Ads,False,True,1.0,3.0
107,a100000111,2018-01-05,House Ads,control,True,English,English,55+ years,2018-01-05,,House Ads,True,True,1.0,4.0
108,a100000111,2018-01-04,House Ads,control,False,English,English,55+ years,2018-01-05,,House Ads,True,True,1.0,3.0
109,a100000112,2018-01-05,House Ads,control,True,English,English,0-18 years,2018-01-05,,House Ads,True,True,1.0,4.0
110,a100000112,2018-01-04,House Ads,control,False,English,English,0-18 years,2018-01-05,,House Ads,True,True,1.0,3.0
111,a100000113,2018-01-05,House Ads,control,True,English,English,19-24 years,2018-01-05,,House Ads,True,True,1.0,4.0
112,a100000114,2018-01-05,House Ads,control,True,English,English,24-30 years,2018-01-05,,House Ads,True,True,1.0,4.0
113,a100000127,2018-01-05,House Ads,control,True,English,English,30-36 years,2018-01-05,,House Ads,True,True,1.0,4.0
114,a100000128,2018-01-05,House Ads,control,True,English,English,36-45 years,2018-01-05,,House Ads,True,True,1.0,4.0
115,a100000129,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,,House Ads,True,True,1.0,5.0
116,a100000130,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,,House Ads,True,True,1.0,5.0
117,a100000131,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,,House Ads,True,True,1.0,5.0
118,a100000132,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,,House Ads,True,True,1.0,5.0
119,a100000133,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,,House Ads,True,True,1.0,5.0
120,a100000134,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,,House Ads,True,True,1.0,5.0
121,a100000150,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,,House Ads,True,True,1.0,5.0
122,a100000151,2018-01-06,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-06,,House Ads,True,True,1.0,5.0
123,a100000152,2018-01-06,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-06,,House Ads,True,True,1.0,5.0
124,a100000153,2018-01-06,House Ads,control,True,Arabic,Arabic,0-18 years,2018-01-06,,House Ads,True,True,1.0,5.0
125,a100000154,2018-01-06,House Ads,control,True,English,English,19-24 years,2018-01-06,,House Ads,True,True,1.0,5.0
126,a100000155,2018-01-06,House Ads,control,True,English,English,24-30 years,2018-01-06,,House Ads,True,True,1.0,5.0
127,a100000156,2018-01-06,House Ads,control,True,English,English,30-36 years,2018-01-06,,House Ads,True,True,1.0,5.0
128,a100000157,2018-01-06,House Ads,control,True,English,English,36-45 years,2018-01-06,,House Ads,True,True,1.0,5.0
129,a100000162,2018-01-06,House Ads,control,True,English,English,45-55 years,2018-01-06,,House Ads,True,True,1.0,5.0
130,a100000163,2018-01-06,House Ads,control,True,Arabic,Arabic,55+ years,2018-01-06,,House Ads,True,True,1.0,5.0
131,a100000164,2018-01-06,House Ads,control,True,English,English,0-18 years,2018-01-06,2018-03-10,House Ads,False,True,1.0,5.0
132,a100000165,2018-01-07,House Ads,control,True,Arabic,Arabic,19-24 years,2018-01-07,2018-03-11,House Ads,False,True,1.0,6.0
133,a100000166,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,2018-03-25,House Ads,False,True,1.0,6.0
134,a100000167,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,2018-02-21,House Ads,False,True,1.0,6.0
135,a100000168,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,2018-02-25,House Ads,False,True,1.0,6.0
136,a100000169,2018-01-07,House Ads,control,True,English,English,45-55 years,2018-01-07,2018-03-05,House Ads,False,True,1.0,6.0
137,a100000170,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,2018-04-16,House Ads,False,True,1.0,6.0
138,a100000171,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,2018-02-06,House Ads,False,True,1.0,6.0
139,a100000172,2018-01-07,House Ads,control,True,German,German,19-24 years,2018-01-07,2018-02-05,House Ads,False,True,1.0,6.0
140,a100000250,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,,House Ads,True,True,1.0,6.0
141,a100000251,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,,House Ads,True,True,1.0,6.0
142,a100000252,2018-01-07,House Ads,control,True,German,German,36-45 years,2018-01-07,,House Ads,True,True,1.0,6.0
143,a100000253,2018-01-07,House Ads,control,True,Arabic,Arabic,45-55 years,2018-01-07,,House Ads,True,True,1.0,6.0
144,a100000254,2018-01-07,House Ads,control,True,English,English,55+ years,2018-01-07,,House Ads,True,True,1.0,6.0
145,a100000255,2018-01-07,House Ads,control,True,English,English,0-18 years,2018-01-07,,House Ads,True,True,1.0,6.0
146,a100000256,2018-01-07,House Ads,control,True,English,English,19-24 years,2018-01-07,,House Ads,True,True,1.0,6.0
147,a100000257,2018-01-07,House Ads,control,True,English,English,24-30 years,2018-01-07,,House Ads,True,True,1.0,6.0
148,a100000258,2018-01-07,House Ads,control,True,English,English,30-36 years,2018-01-07,,House Ads,True,True,1.0,6.0
149,a100000259,2018-01-07,House Ads,control,True,English,English,36-45 years,2018-01-07,,House Ads,True,True,1.0,6.0
150,a100000260,2018-01-07,House Ads,control,True,Spanish,Spanish,45-55 years,2018-01-07,2018-01-14,House Ads,False,True,1.0,6.0
151,a100000261,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-03-13,House Ads,False,True,1.0,0.0
152,a100000262,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,2018-02-22,House Ads,False,True,1.0,0.0
153,a100000263,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,2018-01-11,House Ads,False,True,1.0,0.0
154,a100000264,2018-01-08,House Ads,control,True,German,German,24-30 years,2018-01-08,2018-03-19,House Ads,False,True,1.0,0.0
155,a100000265,2018-01-08,House Ads,control,True,German,German,30-36 years,2018-01-08,2018-02-10,House Ads,False,True,1.0,0.0
156,a100000266,2018-01-08,House Ads,control,True,English,English,36-45 years,2018-01-08,2018-03-30,House Ads,False,True,1.0,0.0
157,a100000267,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,2018-01-15,House Ads,False,True,1.0,0.0
158,a100000268,2018-01-08,House Ads,control,True,English,English,55+ years,2018-01-08,2018-02-21,House Ads,False,True,1.0,0.0
159,a100000269,2018-01-08,House Ads,control,True,English,English,0-18 years,2018-01-08,,House Ads,True,True,1.0,0.0
160,a100000270,2018-01-08,House Ads,control,True,English,English,19-24 years,2018-01-08,,House Ads,True,True,1.0,0.0
161,a100000271,2018-01-08,House Ads,control,True,English,English,24-30 years,2018-01-08,,House Ads,True,True,1.0,0.0
162,a100000272,2018-01-08,House Ads,control,True,English,English,30-36 years,2018-01-08,,House Ads,True,True,1.0,0.0
163,a100000273,2018-01-08,House Ads,control,True,German,German,36-45 years,2018-01-08,,House Ads,True,True,1.0,0.0
164,a100000274,2018-01-08,House Ads,control,True,English,English,45-55 years,2018-01-08,,House Ads,True,True,1.0,0.0
165,a100000275,2018-01-08,House Ads,control,True,Spanish,Spanish,55+ years,2018-01-08,,House Ads,True,True,1.0,0.0
166,a100000276,2018-01-08,House Ads,control,True,Spanish,Spanish,0-18 years,2018-01-08,,House Ads,True,True,1.0,0.0
167,a100000277,2018-01-09,House Ads,control,True,Spanish,Spanish,19-24 years,2018-01-09,,House Ads,True,True,1.0,1.0
168,a100000278,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True,True,1.0,1.0
169,a100000279,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True,True,1.0,1.0
170,a100000280,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,,House Ads,True,True,1.0,1.0
171,a100000281,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,,House Ads,True,True,1.0,1.0
172,a100000282,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,,House Ads,True,True,1.0,1.0
173,a100000283,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,,House Ads,True,True,1.0,1.0
174,a100000284,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,,House Ads,True,True,1.0,1.0
175,a100000285,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True,True,1.0,1.0
176,a100000286,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True,True,1.0,1.0
177,a100000287,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,,House Ads,True,True,1.0,1.0
178,a100000288,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,,House Ads,True,True,1.0,1.0
179,a100000289,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,,House Ads,True,True,1.0,1.0
180,a100000290,2018-01-09,House Ads,control,True,English,English,0-18 years,2018-01-09,,House Ads,True,True,1.0,1.0
181,a100000291,2018-01-09,House Ads,control,True,English,English,19-24 years,2018-01-09,,House Ads,True,True,1.0,1.0
182,a100000292,2018-01-09,House Ads,control,True,English,English,24-30 years,2018-01-09,,House Ads,True,True,1.0,1.0
183,a100000293,2018-01-09,House Ads,control,True,English,English,30-36 years,2018-01-09,,House Ads,True,True,1.0,1.0
184,a100000294,2018-01-09,House Ads,control,True,English,English,36-45 years,2018-01-09,2018-01-14,House Ads,False,True,1.0,1.0
185,a100000295,2018-01-09,House Ads,control,True,English,English,45-55 years,2018-01-09,2018-02-04,House Ads,False,True,1.0,1.0
186,a100000296,2018-01-09,House Ads,control,True,English,English,55+ years,2018-01-09,2018-02-04,House Ads,False,True,1.0,1.0
187,a100000297,2018-01-10,House Ads,control,True,German,German,0-18 years,2018-01-10,2018-02-09,House Ads,False,True,1.0,2.0
188,a100000298,2018-01-10,House Ads,control,True,German,German,19-24 years,2018-01-10,2018-01-21,House Ads,False,True,1.0,2.0
189,a100000299,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,2018-03-07,House Ads,False,True,1.0,2.0
190,a100000300,2018-01-10,House Ads,control,True,English,English,30-36 years,2018-01-10,2018-04-10,House Ads,False,True,1.0,2.0
191,a100000301,2018-01-10,House Ads,control,True,Spanish,Spanish,36-45 years,2018-01-10,2018-04-16,House Ads,False,True,1.0,2.0
192,a100000302,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,2018-03-26,House Ads,False,True,1.0,2.0
193,a100000303,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,,House Ads,True,True,1.0,2.0
194,a100000304,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,,House Ads,True,True,1.0,2.0
195,a100000305,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,,House Ads,True,True,1.0,2.0
196,a100000306,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,,House Ads,True,True,1.0,2.0
197,a100000307,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,,House Ads,True,True,1.0,2.0
198,a100000308,2018-01-10,House Ads,control,True,English,English,36-45 years,2018-01-10,,House Ads,True,True,1.0,2.0
199,a100000309,2018-01-10,House Ads,control,True,English,English,45-55 years,2018-01-10,,House Ads,True,True,1.0,2.0
200,a100000310,2018-01-10,House Ads,control,True,English,English,55+ years,2018-01-10,,House Ads,True,True,1.0,2.0
201,a100000311,2018-01-10,House Ads,control,True,English,English,0-18 years,2018-01-10,,House Ads,True,True,1.0,2.0
202,a100000312,2018-01-10,House Ads,control,True,English,English,19-24 years,2018-01-10,,House Ads,True,True,1.0,2.0
203,a100000313,2018-01-10,House Ads,control,True,English,English,24-30 years,2018-01-10,,House Ads,True,True,1.0,2.0
204,a100000314,2018-01-10,House Ads,control,True,Spanish,Spanish,30-36 years,2018-01-10,,House Ads,True,True,1.0,2.0
205,a100000315,2018-01-10,House Ads,personalization,True,English,English,36-45 years,2018-01-10,,House Ads,True,True,1.0,2.0
206,a100000316,2018-01-10,House Ads,personalization,True,English,English,45-55 years,2018-01-10,,House Ads,True,True,1.0,2.0
207,a100000317,2018-01-10,House Ads,personalization,True,Spanish,Spanish,55+ years,2018-01-10,2018-04-19,House Ads,False,True,1.0,2.0
208,a100000318,2018-01-11,House Ads,personalization,True,English,English,0-18 years,2018-01-11,2018-03-04,House Ads,False,True,1.0,3.0
209,a100000319,2018-01-12,House Ads,personalization,True,English,Spanish,19-24 years,2018-01-12,2018-01-26,House Ads,False,True,1.0,4.0
210,a100000320,2018-01-13,House Ads,personalization,True,English,English,24-30 years,2018-01-13,2018-04-05,House Ads,False,True,1.0,5.0
211,a100000321,2018-01-14,House Ads,personalization,True,English,English,30-36 years,2018-01-14,2018-01-26,House Ads,False,True,1.0,6.0
212,a100000322,2018-01-15,House Ads,personalization,True,English,English,36-45 years,2018-01-15,2018-03-15,House Ads,False,True,1.0,0.0
213,a100000323,2018-01-16,House Ads,personalization,True,English,English,45-55 years,2018-01-16,2018-04-22,House Ads,False,True,1.0,1.0
214,a100000324,2018-01-17,House Ads,personalization,True,English,English,55+ years,2018-01-17,2018-02-11,House Ads,False,True,1.0,2.0
215,a100000325,2018-01-18,House Ads,personalization,True,English,English,0-18 years,2018-01-18,2018-01-23,House Ads,False,True,1.0,3.0
216,a100000326,2018-01-19,House Ads,personalization,True,English,English,19-24 years,2018-01-19,,House Ads,True,True,1.0,4.0
217,a100000327,2018-01-20,House Ads,personalization,True,English,English,24-30 years,2018-01-20,,House Ads,True,True,1.0,5.0
218,a100000328,2018-01-21,House Ads,personalization,True,English,English,0-18 years,2018-01-21,,House Ads,True,True,1.0,6.0
219,a100000328,2018-01-10,House Ads,personalization,False,English,English,0-18 years,2018-01-21,,House Ads,True,True,1.0,2.0
220,a100000329,2018-01-22,House Ads,personalization,True,English,English,19-24 years,2018-01-22,,House Ads,True,True,1.0,0.0
221,a100000329,2018-01-10,House Ads,personalization,False,English,English,19-24 years,2018-01-22,,House Ads,True,True,1.0,2.0
222,a100000330,2018-01-23,House Ads,personalization,True,English,English,24-30 years,2018-01-23,,House Ads,True,True,1.0,1.0
223,a100000330,2018-01-10,Push,personalization,False,English,English,24-30 years,2018-01-23,,House Ads,True,False,5.0,2.0
